Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
10 - Hauppauge,10 - Hauppauge,SUFFOLK,LAKE GROVE-VILLAGE,74,NY 025,Hawkins Ave,MIDDLE COUNTRY RD @ HAWKINS AVE & STONY BROOK RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4524944.116,659062.7618
10 - Hauppauge,10 - Hauppauge,SUFFOLK,CENTEREACH-VILLAGE,74.25,NY 025,Pleasant Ave,MIDDLE COUNTRY RD @ PLEASANT AVE & DAWN DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4524798.384,661312.6224
10 - Hauppauge,10 - Hauppauge,SUFFOLK,FLANDERS-VILLAGE,524.1B,NY 024,Flanders Rd,FLANDERS ROAD @ FIRE SIGN BEACON WEST OF PLEASURE DR,BEACON,EMERGENCY,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4530763.224,700620.2713
10 - Hauppauge,10 - Hauppauge,SUFFOLK,MIDDLE ISLAND-VILLAGE,75.57F,NY 025,Arnold Ave,MIDDLE COUNTRY RD @ ARNOLD AVE & MIDDLE ISLND FIRE HOUSE,3-COLOR SIGNAL,EMERGENCY,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4527154.087,671235.2771
10 - Hauppauge,10 - Hauppauge,SUFFOLK,EAST MARION,90.14FB,NY 025,Flashing Beacon W/O E Marion Firehouse,MAIN RD @ FLASHING BEACON W/O EAST MARION FIRE HOUSE,BEACON,EMERGENCY,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4556137.43,723122.15
10 - Hauppauge,10 - Hauppauge,NASSAU,BETHPAGE-VILLAGE,197.4,NY 107,Wantagh Ave,HICKSVILLE RD NB @ WANTAGH AVE,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4510783.225,627079.9078
10 - Hauppauge,10 - Hauppauge,SUFFOLK,PORT JEFFERSON-VILLAGE,28,NY 025A,Main St,WEST BROADWAY @ MAIN STREET & WATER STREET,FLASHER,NO CONTROLLER,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4534635.282,662492.6843
10 - Hauppauge,10 - Hauppauge,NASSAU,HEMPSTEAD-VILLAGE,102,NY 024,Fairview Blvd,HEMPSTEAD TNPK @ FAIRVIEW BLVD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4507795.7,617618.1259
10 - Hauppauge,10 - Hauppauge,NASSAU,LEVITTOWN-VILLAGE,104.22,NY 024,Center Ln,HEMPSTEAD TNPK @ CENTER LN & ENT-EXIT OF LEVITTOWN SHOP CNTR,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4509248.686,624532.964
10 - Hauppauge,10 - Hauppauge,NASSAU,VALLEY STREAM-VILLAGE,115.1,NY 027,Central Ave,SUNRISE HGWY @ CENTRAL AVE & MILL ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4502033.078,609135.1662
10 - Hauppauge,10 - Hauppauge,NASSAU,MASSAPEQUA-VILLAGE,145.9,NY 027,Broadway,SUNRISE HGWY @ BROADWAY,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4503924.995,629149.1522
10 - Hauppauge,10 - Hauppauge,NASSAU,PORT WASHINGTON-VILLAGE,194.03,NY 101,Eastern Crest,PORT WASH BLVD @ EASTERN CREST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4521454.68,610716.229
10 - Hauppauge,10 - Hauppauge,NASSAU,HICKSVILLE-VILLAGE,194.082,NY 107,17th St,BROADWAY @ 17TH ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4515389.812,623937.7321
10 - Hauppauge,10 - Hauppauge,NASSAU,N. NEW HYDE PARK-VILLAGE,38.5,NY 025B,Manor Ct,HILLSIDE AVE @ MANOR CT,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4511927.433,611439.1125
10 - Hauppauge,10 - Hauppauge,NASSAU,SYOSSET-VILAGE,60.5,NY 025,Eileen Way,JERICHO TNPK @ EILEEN WAY,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4518153.984,624551.3081
10 - Hauppauge,10 - Hauppauge,NASSAU,SYOSSET-VILAGE,60.83,NY 025,Lafayette Dr,JERICHO TNPK @ LAFAYETTE DR,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4518714.124,625598.877
10 - Hauppauge,10 - Hauppauge,NASSAU,LAKE SUCCESS-VILLAGE,705,I 495 NSR,Community Dr,LONG ISLAND EXPRESSWAY NSR @ COMMUNITY DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4513967.93,609417.6711
10 - Hauppauge,10 - Hauppauge,NASSAU,LAKE SUCCESS-VILLAGE,706,I 495 SSR,Community Dr,LONG ISLAND EXPRESSWAY SSR @ COMMUNITY DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4513876.816,609378.3531
10 - Hauppauge,10 - Hauppauge,SUFFOLK,NORTH AMITYVILLE-VILLAGE,148.03,NY 027,Bayview Ave,SUNRISE HGWY @ BAYVIEW AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4505468.495,634448.7975
10 - Hauppauge,10 - Hauppauge,SUFFOLK,BABYLON-VILLAGE,181.15,NY 027A,Fleets Point Rd,MONTAUK HGWY @ FLEETS POINT ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4505438.445,640194.7601
10 - Hauppauge,10 - Hauppauge,SUFFOLK,WEST ISLIP-VILLAGE,184.26,NY 027A,Secatougue Rd,MONTAUK HGWY @ SECATOUGUE RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4506342.702,643735.2338
10 - Hauppauge,10 - Hauppauge,SUFFOLK,MILLER PLACE-VILLAGE,31.45,NY 025A,Pipe Stave Hollow Rd,ROUTE 25A @ PIPE STAVE HOLLOW RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4534100.856,668401.874
10 - Hauppauge,10 - Hauppauge,SUFFOLK,LAKELAND-VILLAGE,344,NY 454,13th Ave,VETERANS MEMORIAL HGWY @ 13TH AVENUE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4516958.195,656563.0001
10 - Hauppauge,10 - Hauppauge,SUFFOLK,ISLANDIA-VILLAGE,352,NY 454,Suffolk Ave,VETERANS MEMORIAL HGWY @ SUFFOLK AVE & NICHOLS RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4518028.9,654097.3491
10 - Hauppauge,10 - Hauppauge,SUFFOLK,WEST HUNTINGTON,63,NY 025,W Hills Rd,JERICHO TNPK @ WEST HILLS ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4520917.771,633140.2883
10 - Hauppauge,10 - Hauppauge,SUFFOLK,ELWOOD,67.28,NY 025,,JERICHO TNPK @ DEER PARK AVE (EAST),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4521882.136,640354.5778
10 - Hauppauge,10 - Hauppauge,SUFFOLK,MIDDLE ISLAND-VILLAGE,75.5P,NY 025,WalMart entrance,Route 25 @ WalMart Shopping Center,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4527612.492,672698.6703
10 - Hauppauge,10 - Hauppauge,SUFFOLK,MELVILLE,754.5,NY 110,Pinelawn Rd,PINELAWN ROAD @ MCGOVERN,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4516223.419,633898.4179
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HAUPPAUGE-CITY,450,NY 347,Town Line Rd,NESCONSET HWY @ TOWN LINE ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4520940.93,651056.11
10 - Hauppauge,10 - Hauppauge,SUFFOLK,MILLER PLACE-VILLAGE,31.455P,NY 025A,Miller Place Plaza,ROUTE 25A @ MILLER PLACE PLAZA,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4534186.72,669102.12
10 - Hauppauge,10 - Hauppauge,SUFFOLK,COMMACK,68F,NY 025,Commack Firehouse,JERICHO TNPK @ DRIVEWAY OF COMMACK FIRE CO FIREHOUSE,3-COLOR SIGNAL,EMERGENCY,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4522713.411,643633.0645
10 - Hauppauge,10 - Hauppauge,NASSAU,EAST MEADOW-VILLAGE,103.28,NY 024,Clearmeadow Dr,HEMPSTEAD TNPK @ CLEARMEADOW DR,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4509250.19,622380.6909
10 - Hauppauge,10 - Hauppauge,SUFFOLK,KINGS PARK-VILLAGE,23,NY 025A,Pulaski Rd,MAIN ST @ OLD DOCK RD/PULASKI RD/EAST NORTHPORT RD,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4527594.255,646777.571
10 - Hauppauge,10 - Hauppauge,NASSAU,WEST FARMINGDALE,106.075,NY 024,Beech St,HEMPSTEAD TNPK @ BEECH STREET,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4509605.853,629326.4666
10 - Hauppauge,10 - Hauppauge,NASSAU,MASSAPEQUA PARK-VILLAGE,147.4,NY 027,Hemlock St,SUNRISE HGWY @ HEMLOCK ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4504752.036,632719.4847
10 - Hauppauge,10 - Hauppauge,NASSAU,HICKSVILLE-VILLAGE,197.095,NY 107,Lewis St,BROADWAY @ LEWIS ST & SOMERSET AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4512071.283,626302.9904
10 - Hauppauge,10 - Hauppauge,NASSAU,MASSAPEQUA-VILLAGE,197.9F,NY 107,Massapequa Firehouse,HICKSVILLE RD @ MASSAPEQUA FIRE HOUSE & GRAND STREET,3-COLOR SIGNAL,EMERGENCY,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4504099.246,628928.4975
10 - Hauppauge,10 - Hauppauge,NASSAU,EAST MEADOW-VILLAGE,200.75,NY 106,Pendroy St,NEWBRIDGE RD @ PENDROY STREET,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4507426.072,623018.7217
10 - Hauppauge,10 - Hauppauge,NASSAU,HERRICKS-VILLAGE,39,NY 025B,Marcus Ave,HILLSIDE AVE @ MARCUS AVE & DENTON AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4512021.025,612005.7073
10 - Hauppauge,10 - Hauppauge,NASSAU,MINEOLA-VILLAGE,49,NY 025,Willis Ave,JERICHO TNPK @ WILLIS AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4511814.776,614723.5418
10 - Hauppauge,10 - Hauppauge,NASSAU,FLOWER HILL-VILLAGE,7.25,NY 025A,Willis Ave,NORTHERN BLVD @ WILLIS AVE & CENTER DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4517423.26,613033.5137
10 - Hauppauge,10 - Hauppauge,NASSAU,JERICHO-TOWN,739.9,I 495 NSR,Robbins Ln,LONG ISLAND EXPRESSWAY NSR @ ROBBINS LANE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4517069.725,625565.0655
10 - Hauppauge,10 - Hauppauge,NASSAU,FRANKLIN SQUARE-VILLAGE,95,NY 024,Jefferson St,HEMPSTEAD TNPK @ JEFFERSON ST & MONROE ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4507102.223,612128.2582
10 - Hauppauge,10 - Hauppauge,SUFFOLK,CORAM-VILLAGE,213.38,NY 112,Mill Rd,PORT JEFFERSON-PATCHOGUE RD @ U.A. CORAM CINEMA,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4525947.194,668559.3278
10 - Hauppauge,10 - Hauppauge,SUFFOLK,STONY BROOK-CITY,25.5,NY 025A,Nicolls Rd,NORTH COUNTRY RD @ NICOLLS ROAD (COUNTY ROAD 97),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4532285.174,658275.8284
10 - Hauppauge,10 - Hauppauge,SUFFOLK,BOHEMIA-VILLAGE,323,NY 454,Orville Dr,VETERANS MEMORIAL HGWY @ ORVILLE DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4516401.121,660120.668
10 - Hauppauge,10 - Hauppauge,SUFFOLK,COMMACK,69.05,NY 025,Veterans Memorial Hwy,JERICHO TNPK @ VETERANS MEMORIAL HWGY (ROUTE 454),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4522654.096,644213.1702
10 - Hauppauge,10 - Hauppauge,SUFFOLK,RIDGE-VILLAGE,76.19F,NY 025,Half Moon Pond Rd,MIDDLE COUNTRY RD @ HALF MOON POND RD & RIDGE FIRE HOUSE,3-COLOR SIGNAL,EMERGENCY,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4529663.094,678840.2554
10 - Hauppauge,10 - Hauppauge,NASSAU,ROCKVILLE CENTRE-VILLAGE,126,NY 027,N Center Ave,SUNRISE HGWY @ NO CENTER AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4501610.696,614182.7955
10 - Hauppauge,10 - Hauppauge,NASSAU,MINEOLA-VILLAGE,47,NY 025,Marcellus Rd,JERICHO TNPK @ MARCELLUS RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4511556.368,614159.3426
10 - Hauppauge,10 - Hauppauge,NASSAU,BETHPAGE-VILLAGE,197.2,NY 107,Grumman Main Entrance,HICKSVILLE RD @ MAIN ENTRANCE TO GRUMMAN,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4511387.285,626821.5754
10 - Hauppauge,10 - Hauppauge,SUFFOLK,RONKONKOMA,776,I 495 SSR,Terry Rd,LONG ISLAND EXPRESSWAY SSR @ TERRY ROAD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4519338.233,656296.9849
10 - Hauppauge,10 - Hauppauge,SUFFOLK,COMMACK,68.4,NY 025,Heatherwood Shopping Ctr,JERICHO TNPK @ HEATHERWOOD SHOPPING CENTER,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4522586.337,642955.7063
10 - Hauppauge,10 - Hauppauge,SUFFOLK,DIX HILLS-VILLAGE,759,I 495 NSR,Carlls Straight Path,LONG ISLAND EXPRESSWAY NSR @ CARLL'S STRAIGHT PATH,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4518361.118,641693.3766
10 - Hauppauge,10 - Hauppauge,SUFFOLK,EAST FARMINGDALE-TOWN,208.595,NY 110,Grumman Lane,BROAD HOLLOW RD @ GRUMMAN LANE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4509793.195,633113.4736
10 - Hauppauge,10 - Hauppauge,NASSAU,BROOKVILLE-VILLAGE,8.5,NY 025A,Whitney Ln,NORTHERN BLVD @ WHITNEY LANE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4519434.593,617590.2591
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HAUPPAUGE-CITY,785.1,I 495 NSR,Motor Pkwy W,LONG ISLAND EXPRESSWAY NSR @ MOTOR PKWY W & OLD WILLETS PATH,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4518850.687,648863.5261
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HAUPPAUGE-CITY,767,I 495 NSR,Lincoln Blvd,LONG ISLAND EXPRESSWAY NSR @ LINCOLN BLVD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4519187.257,651873.7419
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HAUPPAUGE-CITY,764.5,I 495 SSR,Washington Ave,LONG ISLAND EXPRESSWAY SSR @ WASHINGTON AVE,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4518703.996,647723.9752
10 - Hauppauge,10 - Hauppauge,SUFFOLK,LAKE RONKONKOMA,779.1,I 495 SSR,Patchogue/Holbrook Rd,LONG ISLAND EXPRESSWAY SSR @ PATCHOGUE/HOLBROOK RD (CR19),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4519970.465,661627.5349
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HOLTSVILLE,782,I 495 NSR,Blue Point Rd,LONG ISLAND EXPRESSWAY NSR @ BLUE POINT RD.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4520925.401,665501.8483
10 - Hauppauge,10 - Hauppauge,SUFFOLK,MEDFORD,783.1,I 495 SSR,Old Medford Ave,LONG ISLAND EXPRESSWAY SSR @ OLD MEDFORD AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4521080.757,667537.7141
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HUNTINGTON-VILLAGE,15.1,NY 025A,Prospect St,Main St. @ Prospect St. (Pedestrian Signal),3-COLOR SIGNAL,PEDESTRIAN,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4525604.79,632319.34
10 - Hauppauge,10 - Hauppauge,NASSAU,INWOOD-VILLAGE,3600,NY 878,Wanser Ave,NASSAU EXPRESSWAY @ WANSER AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4496944.854,606371.7737
10 - Hauppauge,10 - Hauppauge,NASSAU,INWOOD-VILLAGE,3500,NY 878,Burnside Ave,NASSAU EXPRESSWAY @ BURNSIDE AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4497670.854,606484.6685
10 - Hauppauge,10 - Hauppauge,NASSAU,JERICHO-TOWN,194.087,NY 107,NO SERVICE RD OF L.I.E.,BROADWAY @ NO SERVICE RD OF L.I.E. & BIRCHWOOD PARK DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4516101.485,623638.2704
10 - Hauppauge,10 - Hauppauge,NASSAU,SYOSSET-VILAGE,60.2,NY 025,Marian Ln,JERICHO TNPK @ MARIAN LN/OLD JERICHO TNPK,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4517305.528,623691.4037
10 - Hauppauge,10 - Hauppauge,SUFFOLK,EAST ISLIP-VILLAGE,192,NY 027A,Carleton Ave,MONTAUK HGWY @ CARLETON AVE & WOODLAND DRIVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4510487.223,652771.9289
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HAUPPAUGE-CITY,210.851,NY 111,Pedestrian Crossing at Town Line Road,HAUPPAUGE RD @ PEDESTRAIN CROSSING AT TOWN LINE RD,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4520944.646,651626.3925
10 - Hauppauge,10 - Hauppauge,SUFFOLK,NORTH PATCHOGUE-VILLAGE,213.128,NY 112,Harris St,MEDFORD AVE @ HARRIS ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4516714.44,668014.9912
10 - Hauppauge,10 - Hauppauge,SUFFOLK,LINDENHURST-VILLAGE,148.264,NY 027,N Niagara St,SUNRISE HGWY @ NORTH NIAGRA STREET,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4507405.221,637522.2028
10 - Hauppauge,10 - Hauppauge,NASSAU,NORTH HILLS-VILLAGE,712,I 495 SSR,Shelter Rock Rd,LONG ISLAND EXPRESSWAY SSR @ SHELTER ROCK RD & RAMP OF NSP,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4514542.595,612204.566
10 - Hauppauge,10 - Hauppauge,NASSAU,GREAT NECK-VILLAGE,3,NY 025A,Middleneck Rd,NORTHERN BLVD @ MIDDLENECK RD & LAKEVILLE RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4515328.88,608264.1417
10 - Hauppauge,10 - Hauppauge,NASSAU,BELLEROSE-VILLAGE,39.55P,NY 025,Bellrose Commons,JERICHO TNPK @ BELLROSE COMMONS,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4509232.84,608657.41
10 - Hauppauge,10 - Hauppauge,NASSAU,PLAINVIEW-VILLAGE,744,I 495 SSR,Sunnyside Blvd,LONG ISLAND EXPRESSWAY SSR @ SUNNYSIDE BLVD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4517138.802,629189.8543
10 - Hauppauge,10 - Hauppauge,SUFFOLK,HAUPPAUGE-CITY,388,NY 454,Wyandanch Blvd,VETERANS MEMORIAL HGWY @ WYANDANCH BLVD & LINCOLN AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- IMIS MAINTENANCE CONTRACT),4521611.004,646774.1237
10 - Hauppauge,10 - Hauppauge,NASSAU,BETHPAGE-VILLAGE,197.15P,NY 107,Bethpage Market,HICKSVILLE RD @ BETHPAGE MARKET MALL,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4511744.825,626542.5356
